0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
-29,-32,-37,-34,-55,-37,-38,-52,-56,-61,-53,-40,-43,-55,-53,-53,-52,-53,-51,-58,-54,-56,-53,-52,-58,-58,-57,-58,-58,-58,-62
-26,-33,-52,-34,-33,-47,-53,-51,-57,-57,-52,-49,-57,-55,-54,-53,-55,-53,-54,-54,-51,-57,-56,-43,-61,-55,-59,-59,-56,-58,-60
-28,-33,-33,-34,-57,-44,-52,-52,-62,-59,-55,-58,-56,-49,-54,-53,-54,-53,-54,-53,-54,-56,-56,-54,-61,-61,-54,-55,-59,-59,-63
-22,-34,-52,-55,-56,-49,-49,-54,-58,-58,-41,-48,-55,-54,-53,-55,-54,-54,-53,-54,-52,-57,-54,-55,-61,-56,-54,-61,-55,-56,-54
-27,-32,-56,-56,-58,-37,-51,-53,-59,-59,-42,-41,-55,-56,-55,-54,-55,-55,-53,-53,-50,-57,-57,-56,-59,-59,-56,-61,-56,-57,-53
-28,-54,-55,-59,-56,-48,-51,-71,-59,-49,-42,-57,-56,-41,-52,-43,-53,-54,-52,-54,-54,-57,-56,-55,-58,-57,-62,-62,-57,-56,-60
-31,-36,-33,-56,-58,-38,-50,-53,-58,-50,-41,-49,-55,-49,-53,-43,-55,-53,-52,-56,-54,-56,-54,-55,-60,-61,-62,-58,-58,-58,-54
-27,-33,-59,-32,-34,-37,-38,-44,-58,-58,-50,-48,-56,-49,-51,-53,-53,-53,-52,-53,-54,-58,-55,-56,-58,-60,-62,-59,-59,-57,-54
-25,-31,-63,-34,-33,-37,-38,-45,-58,-41,-54,-49,-57,-55,-53,-42,-54,-53,-53,-54,-51,-56,-57,-55,-60,-63,-61,-60,-57,-58,-58
-26,-33,-35,-34,-59,-36,-41,-45,-57,-59,-50,-40,-57,-55,-54,-55,-53,-44,-53,-57,-43,-56,-55,-52,-60,-60,-62,-58,-56,-58,-60
-26,-32,-45,-40,-33,-50,-51,-45,-57,-49,-51,-48,-51,-40,-53,-54,-57,-53,-53,-56,-55,-57,-55,-56,-60,-62,-56,-61,-57,-58,-54
-25,-34,-37,-54,-32,-50,-41,-54,-56,-58,-50,-57,-52,-55,-54,-52,-58,-54,-54,-55,-55,-60,-55,-56,-60,-58,-55,-63,-57,-55,-61
-24,-37,-35,-56,-34,-36,-38,-54,-57,-58,-42,-57,-55,-55,-54,-43,-62,-56,-54,-59,-51,-56,-57,-53,-60,-59,-55,-61,-57,-57,-69
-25,-33,-53,-32,-33,-37,-52,-54,-56,-41,-53,-58,-50,-55,-52,-53,-55,-55,-53,-56,-53,-57,-54,-43,-60,-62,-58,-58,-57,-57,-66
-22,-34,-59,-33,-33,-50,-49,-55,-56,-41,-51,-50,-51,-56,-53,-53,-54,-54,-52,-55,-51,-57,-55,-56,-61,-59,-56,-58,-58,-57,-53
-23,-31,-35,-34,-33,-52,-38,-41,-56,-59,-41,-57,-56,-41,-53,-42,-55,-53,-51,-55,-55,-55,-57,-44,-60,-58,-60,-58,-57,-58,-54
-30,-45,-58,-53,-56,-35,-42,-50,-56,-59,-41,-49,-52,-49,-53,-44,-55,-53,-53,-57,-51,-57,-55,-54,-61,-58,-59,-57,-57,-57,-52
-31,-34,-35,-59,-33,-51,-47,-45,-57,-41,-50,-49,-56,-49,-54,-52,-54,-53,-51,-58,-54,-56,-55,-56,-61,-60,-56,-61,-53,-59,-66
-28,-33,-36,-54,-34,-36,-48,-45,-56,-49,-54,-49,-55,-41,-53,-53,-54,-53,-53,-56,-53,-58,-55,-55,-60,-59,-61,-63,-56,-58,-60
-28,-37,-57,-57,-54,-51,-50,-45,-55,-59,-53,-60,-52,-56,-51,-43,-54,-54,-54,-56,-54,-57,-56,-53,-61,-61,-61,-58,-57,-58,-56
-24,-37,-63,-53,-55,-37,-52,-51,-55,-41,-50,-49,-41,-50,-55,-52,-55,-53,-53,-56,-52,-57,-57,-57,-60,-56,-55,-61,-58,-59,-56
-24,-32,-52,-61,-32,-37,-38,-53,-56,-60,-50,-57,-42,-56,-54,-54,-56,-54,-53,-57,-56,-57,-56,-44,-60,-58,-60,-61,-57,-58,-62
-30,-40,-35,-36,-57,-37,-51,-54,-55,-41,-49,-49,-52,-57,-54,-44,-55,-54,-43,-54,-55,-57,-56,-56,-59,-58,-56,-57,-56,-57,-62
-24,-36,-55,-54,-55,-37,-50,-42,-58,-50,-50,-40,-42,-54,-53,-55,-54,-45,-53,-55,-56,-56,-56,-56,-60,-57,-60,-62,-57,-58,-61
-23,-37,-36,-52,-57,-50,-40,-54,-57,-60,-53,-39,-51,-53,-52,-45,-55,-52,-52,-57,-54,-57,-56,-55,-60,-58,-61,-58,-58,-57,-53
-31,-33,-55,-57,-59,-52,-42,-44,-56,-51,-53,-48,-57,-54,-54,-72,-56,-56,-53,-56,-52,-58,-56,-43,-60,-59,-54,-58,-56,-57,-63
-26,-34,-35,-32,-33,-38,-38,-53,-56,-41,-40,-48,-42,-53,-55,-54,-54,-54,-51,-57,-55,-56,-56,-56,-62,-56,-60,-57,-57,-56,-64
-27,-36,-34,-32,-33,-36,-47,-53,-57,-57,-53,-58,-57,-58,-54,-52,-53,-52,-53,-56,-54,-57,-56,-53,-63,-58,-60,-58,-54,-58,-61
-25,-33,-35,-35,-56,-36,-42,-41,-59,-56,-49,-40,-42,-56,-54,-44,-55,-54,-53,-55,-52,-57,-55,-56,-61,-58,-59,-58,-58,-56,-52
-24,-33,-36,-37,-56,-42,-50,-54,-55,-58,-53,-40,-51,-55,-54,-44,-54,-43,-53,-57,-55,-56,-55,-52,-58,-57,-55,-63,-57,-58,-54
-21,-33,-36,-60,-57,-51,-52,-51,-58,-60,-48,-40,-51,-54,-45,-53,-55,-52,-55,-53,-54,-55,-58,-52,-60,-56,-59,-64,-56,-58,-55
-26,-34,-57,-55,-56,-50,-38,-40,-58,-57,-54,-49,-55,-57,-54,-54,-55,-44,-53,-55,-53,-58,-57,-57,-61,-56,-54,-64,-58,-58,-59
-29,-47,-35,-33,-56,-43,-37,-46,-56,-59,-54,-58,-50,-55,-54,-44,-58,-53,-43,-51,-51,-56,-56,-57,-58,-57,-53,-62,-57,-58,-53
